,twitter_handle,display_name,followers_count,following_count,acct_created
106,@AliEhsassi,Ali Ehsassi,9266,2142,2013-09-22 22:38:13
107,@MarcMillerVM,Marc Miller,17186,1275,2013-09-19 11:39:28
108,@EmmanuelDubourg,Emmanuel Dubourg,4372,1566,2013-09-18 21:42:46
109,@BobSaroya,"Bob Saroya, MP",10988,424,2013-09-16 17:24:18
110,@BenLobbMP,Ben Lobb,4024,2444,2013-09-10 13:27:11
111,@StephanieKusie,Stephanie Kusie,6705,1045,2013-09-02 17:38:20
112,@JenicaAtwin,"Jenica Atwin, MP for Fredericton D\xc3\xa9put\xc3\xa9e",8625,3256,2013-08-30 00:58:02
113,@FP_Champagne,Fran\xc3\xa7ois-Philippe Champagne (FPC) \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,48452,3402,2013-08-28 16:09:02
114,@LarryMaguireMP,Larry Maguire,5787,3624,2013-08-20 21:10:43
115,@AHousefather,Anthony Housefather,9990,3148,2013-08-04 22:49:20
116,@ZannLenore,Lenore Zann,4318,1905,2013-08-04 21:16:42
117,@cathayw,Cathay Wagantall MP,2813,398,2013-07-28 01:11:47
118,@KentThornhillMP,Hon. Peter Kent,11783,581,2013-05-22 16:05:33
119,@handongontario,Han Dong,4528,1390,2013-05-06 02:26:20
120,@JudySgroMP,Judy Sgro,7368,937,2013-04-30 01:33:30
121,@DavidLametti,David Lametti,13600,1747,2013-04-18 02:28:56
122,@KerryLynneFindl,Kerry-Lynne Findlay,4357,790,2013-03-20 18:14:13
123,@BradleyVis,Brad Vis,3027,2402,2013-03-18 16:55:30
124,@RonMcKinnonLib,Ron McKinnon,4025,238,2013-01-21 19:00:16
125,@jameskcumming,James Cumming,3405,561,2013-01-15 14:41:36
126,@SeanFraserMP,Sean Fraser,8532,628,2013-01-08 23:17:28
127,@marty_morantz,Marty Morantz,3465,1672,2012-12-19 00:57:26
128,@PattyHajdu,Patty Hajdu,82101,2774,2012-12-11 23:09:13
129,@VBadawey,Vance Badawey,5855,2201,2012-12-10 18:09:52
130,@MelArnoldMP,Mel Arnold MP,2558,539,2012-11-22 19:24:25
131,@randeepssarai,Randeep S. Sarai,5726,1246,2012-11-07 06:36:55
132,@WillAAmos,William Amos,10240,2275,2012-11-01 19:30:13
133,@Puglaas,Jody Wilson-Raybould \xe7\x8e\x8b\xe5\xb7\x9e\xe8\xbf\xaa Vancouver Granville,134323,1010,2012-10-29 18:33:16
134,@mclaudebibeau,Marie-Claude Bibeau,30283,900,2012-10-29 01:14:35
